,m0,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,m13,m14,m15,m16,m17,m18,m19,m20,m21,m22,m23,m24,m25,m26,m27,m28,m29
m0,1.0,0.05113326758,0.3848810494,0.1157816201,0.2161675394,0.07400422543,0.2487407774,0.1147148088,0.1411396265,0.1883416176,0.02366892621,0.1542118043,0.2029897571,0.2566411793,0.04953728989,0.1213852912,0.1872083694,0.08987087011,0.1123043969,0.2308850884,0.2651235759,0.06100397184,0.04157080501,0.03914446384,0.0536907129,0.06548902392,0.1046100184,0.2724300623,0.03369722143,0.09208182991
m1,0.05113326758,1.0,0.03621114045,0.01214214787,0.003007297404,0.001879599062,0.00891969353,0.02023779042,0.001508537098,0.009527371265,0.05640009418,0.01218561083,0.004119697958,0.07913743705,0.01042476855,0.02438961528,0.04324785247,0.05899176002,0.002109769499,0.002664952539,0.03070065007,0.001728692907,0.00806958694,0.01634911075,0.07012092322,0.01023443136,0.04914151132,0.002272206126,0.08297422528,0.03134111688
m2,0.3848810494,0.03621114045,1.0,0.004230605904,0.1029605344,0.06455886364,0.4268626273,0.00439510541,0.05039097741,0.1088261902,0.03825652972,0.03212160617,0.1568809897,0.4333176017,0.01210853457,0.07345028967,0.009904303588,0.03887600452,0.02224234119,0.2067028284,0.1771665365,0.08173668385,0.04032864794,0.03183506057,0.008931969292,0.07809174806,0.1671396494,0.1475477964,0.003448802046,0.07825274765
m3,0.1157816201,0.01214214787,0.004230605904,1.0,0.02655098215,0.01176505815,0.004635298159,0.01215799246,0.01742707007,0.05312245712,0.004722795449,0.1196401492,0.02126594447,0.003645240329,0.0149878012,0.001479892409,0.04457201064,0.163229242,0.03340076283,0.01146594156,0.002328068018,0.001620135969,0.006354494952,0.02369665168,0.01350116543,0.04044583067,0.002622492379,0.03115240857,0.002038572216,0.0360397622
m4,0.2161675394,0.003007297404,0.1029605344,0.02655098215,1.0,0.008828443475,0.003027064027,0.001185116475,0.008697158657,0.01496244874,0.0009379075491,0.007232603617,0.01144185476,0.03070874698,0.0007532495074,0.02090124413,0.09650610387,0.04931544513,0.09130882472,0.1390702128,0.0165476352,0.00398921594,0.009412204847,0.01014961023,0.001403691946,0.09496933222,0.01400467847,0.2444845438,0.01115848962,0.008640208282
m5,0.07400422543,0.001879599062,0.06455886364,0.01176505815,0.008828443475,1.0,0.07447347045,0.01276400965,0.0383814238,0.004903716035,0.001153837307,0.01209250558,0.1259774864,0.06704024971,0.05624434724,0.01263597235,0.003932197113,0.01157321688,0.003219266888,0.03946178779,0.009853131138,0.009341852739,0.007265781052,0.01186931226,0.01096271444,0.001381355221,0.05026600137,0.005593466107,0.03536031768,0.001237323275
m6,0.2487407774,0.00891969353,0.4268626273,0.004635298159,0.003027064027,0.07447347045,1.0,0.1099298447,0.0850809738,0.01804293506,0.02040954493,0.006051688921,0.1285815537,0.252515465,0.001664121519,0.1079518497,0.0466410853,0.01436339132,0.00186639966,0.1083483994,0.09198889881,0.2233527601,0.01637214236,0.03512090817,0.002950051567,0.06559117883,0.1681684554,0.004895104095,0.003261585953,0.01986473799
m7,0.1147148088,0.02023779042,0.00439510541,0.01215799246,0.001185116475,0.01276400965,0.1099298447,1.0,0.04628711194,0.2251634449,0.103951633,0.004667927977,0.05312009528,0.02183792926,0.002485293895,0.07852420211,0.03776215762,0.006899300031,0.001675439999,0.01259134803,0.02560838498,0.180194959,0.006522365846,0.004154760856,0.06755585223,0.0353615433,0.02712206356,0.1084620282,0.0003435470862,0.01678190939
m8,0.1411396265,0.001508537098,0.05039097741,0.01742707007,0.008697158657,0.0383814238,0.0850809738,0.04628711194,1.0,0.02456178144,0.0107573932,0.1311724633,0.0607281141,0.002672595205,0.0007990723825,0.01773976907,0.0774429515,0.02840407006,0.01675828919,0.007946971804,0.07081923634,0.001455256133,0.008030758239,0.05624614656,0.05120433122,0.001074216445,0.09988802671,0.02167743072,0.001329949941,0.02518360689
m9,0.1883416176,0.009527371265,0.1088261902,0.05312245712,0.01496244874,0.004903716035,0.01804293506,0.2251634449,0.02456178144,1.0,0.04367830232,0.03747881204,0.01892959699,0.1438275725,0.00102514145,0.007479228545,0.006398008671,0.03533602878,0.004705269821,0.1741820872,0.007490525022,0.003451420926,0.08020089567,0.02211790346,0.003012733068,0.005590985995,0.01347534638,0.1846027374,0.03779990971,0.0635522902
m10,0.02366892621,0.05640009418,0.03825652972,0.004722795449,0.0009379075491,0.001153837307,0.02040954493,0.103951633,0.0107573932,0.04367830232,1.0,0.001896520378,0.06766907871,0.02683466859,0.001154559199,0.00244695181,0.007445758209,0.01006584242,0.02874616347,0.006670453586,0.006534549873,0.1420098245,0.002234287793,0.002782787429,0.01447297074,0.002488726052,0.08311512321,0.0645808354,0.01326671336,0.06531524658
m11,0.1542118043,0.01218561083,0.03212160617,0.1196401492,0.007232603617,0.01209250558,0.006051688921,0.004667927977,0.1311724633,0.03747881204,0.001896520378,1.0,0.01309822965,0.04936324805,0.0005838933284,0.01008955389,0.02040943503,0.08252835274,0.00442061061,0.004540634342,0.01126547158,0.03766901046,0.004663159139,0.001934462111,0.02819910645,0.002873749938,0.01554351021,0.06122739241,0.003226077883,0.02172569744
m12,0.2029897571,0.004119697958,0.1568809897,0.02126594447,0.01144185476,0.1259774864,0.1285815537,0.05312009528,0.0607281141,0.01892959699,0.06766907871,0.01309822965,1.0,0.05396923795,0.002644255757,0.02315681055,0.05420332029,0.01633006148,0.02192935906,0.001801362261,0.1642657369,0.005525751971,0.005770228337,0.001032153494,0.002566352487,0.006349846721,0.162674427,0.004492116161,0.01195312571,0.007511207368
m13,0.2566411793,0.07913743705,0.4333176017,0.003645240329,0.03070874698,0.06704024971,0.252515465,0.02183792926,0.002672595205,0.1438275725,0.02683466859,0.04936324805,0.05396923795,1.0,0.001400812063,0.01209922321,0.001766247093,0.004166302271,0.0306786634,0.2417268455,0.02182658948,0.03477535397,0.03980314359,0.003289751941,0.0241561234,0.02585349046,0.1578603238,0.08315679431,0.002131518442,0.1514474899
m14,0.04953728989,0.01042476855,0.01210853457,0.0149878012,0.0007532495074,0.05624434724,0.001664121519,0.002485293895,0.0007990723825,0.00102514145,0.001154559199,0.0005838933284,0.002644255757,0.001400812063,1.0,0.003196146572,0.002602991415,0.01356045902,0.00514336722,0.001895170542,0.003566085361,0.003484854242,0.01352848765,0.01760311797,0.0009666330297,0.0008950937772,0.007004525512,0.01575326174,0.001941596391,0.01690716296
m15,0.1213852912,0.02438961528,0.07345028967,0.001479892409,0.02090124413,0.01263597235,0.1079518497,0.07852420211,0.01773976907,0.007479228545,0.00244695181,0.01008955389,0.02315681055,0.01209922321,0.003196146572,1.0,0.002820699476,0.0008215031703,0.03771067038,0.08358416706,0.1456004977,0.02832936682,0.008754244074,0.1109510511,0.08160806447,0.08651827276,0.004069753923,0.01513384283,0.06209051982,0.003182159271
m16,0.1872083694,0.04324785247,0.009904303588,0.04457201064,0.09650610387,0.003932197113,0.0466410853,0.03776215762,0.0774429515,0.006398008671,0.007445758209,0.02040943503,0.05420332029,0.001766247093,0.002602991415,0.002820699476,1.0,0.00493853353,0.001882983488,0.001930761966,0.07251602411,0.001846981817,0.01489272248,0.03934932873,0.002246824559,0.001700624474,0.01113409083,0.02751450054,0.136453256,0.01197282039
m17,0.08987087011,0.05899176002,0.03887600452,0.163229242,0.04931544513,0.01157321688,0.01436339132,0.006899300031,0.02840407006,0.03533602878,0.01006584242,0.08252835274,0.01633006148,0.004166302271,0.01356045902,0.0008215031703,0.00493853353,1.0,0.001182487234,0.03337997943,0.01360231545,0.002116247779,0.04857458919,0.01492185704,0.01374275144,0.07771403342,0.001607530634,0.005317690782,0.0002961666905,0.02377087809
m18,0.1123043969,0.002109769499,0.02224234119,0.03340076283,0.09130882472,0.003219266888,0.00186639966,0.001675439999,0.01675828919,0.004705269821,0.02874616347,0.00442061061,0.02192935906,0.0306786634,0.00514336722,0.03771067038,0.001882983488,0.001182487234,1.0,0.1148121133,0.004172168672,0.03366935253,0.001450632932,0.0006775445654,0.02415690199,0.01462103892,0.04538184404,0.02322485484,0.02831202,0.01375702862
m19,0.2308850884,0.002664952539,0.2067028284,0.01146594156,0.1390702128,0.03946178779,0.1083483994,0.01259134803,0.007946971804,0.1741820872,0.006670453586,0.004540634342,0.001801362261,0.2417268455,0.001895170542,0.08358416706,0.001930761966,0.03337997943,0.1148121133,1.0,0.02485263348,0.04747703671,0.03791420907,0.04420486465,0.00320729916,0.0445965603,0.01332945935,0.1308833808,0.03930854425,0.05913151801
m20,0.2651235759,0.03070065007,0.1771665365,0.002328068018,0.0165476352,0.009853131138,0.09198889881,0.02560838498,0.07081923634,0.007490525022,0.006534549873,0.01126547158,0.1642657369,0.02182658948,0.003566085361,0.1456004977,0.07251602411,0.01360231545,0.004172168672,0.02485263348,1.0,0.01172496937,0.007232446689,0.004314371385,0.003826671513,0.09209180623,0.06927008927,0.04254193977,0.002269004239,0.01255883556
