,m0,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,m13,m14,m15,m16,m17,m18,m19,m20,m21,m22,m23,m24,m25,m26,m27,m28,m29
m0,1.0,0.7004156709,0.6769425273,0.6826910973,0.6773258448,0.6620019674,0.6626330018,0.5461498499,0.651633203,0.6385365129,0.651044786,0.5790656209,0.5849849582,0.6016190648,0.6176379323,0.6148775816,0.609734118,0.6055029035,0.5935276151,0.6001218557,0.5912908912,0.5824197531,0.587030828,0.5383332372,0.5628949404,0.5808316469,0.5604410768,0.562290132,0.533844173,0.5975551009
m1,0.7004156709,1.0,0.9423077703,0.9389107823,0.9424194098,0.9156128764,0.947196722,0.8120495677,0.9073283076,0.9184564352,0.9113810658,0.8642375469,0.8924144506,0.8852704167,0.8969016075,0.9093605876,0.9036273956,0.8884356618,0.8869347572,0.8941434622,0.8867095113,0.8797159195,0.8869767785,0.8324141502,0.8496342301,0.8732653856,0.8623933196,0.8579497933,0.8003904223,0.8852856159
m2,0.6769425273,0.9423077703,1.0,0.9607015252,0.9623006582,0.9201999903,0.9530887604,0.8579947352,0.9332886338,0.9335056543,0.9356765747,0.8818207979,0.9129938483,0.9163852334,0.9191436768,0.9236918688,0.9322020411,0.9291137457,0.92568928,0.9238052368,0.9283501506,0.9175415635,0.9242628217,0.9096136689,0.9062730074,0.9187318087,0.9176308513,0.9177283049,0.8623577356,0.917330265
m3,0.6826910973,0.9389107823,0.9607015252,1.0,0.9684489965,0.9154115319,0.9642322063,0.8475418091,0.9513790011,0.9525534511,0.9438620806,0.876718998,0.9034901261,0.9252856374,0.9293563962,0.935135901,0.926607132,0.9226911664,0.9188024402,0.9193792939,0.9192681313,0.9040333629,0.917508781,0.8861966133,0.8885017037,0.9061336517,0.8986722827,0.9026952982,0.8358953595,0.9057098031
m4,0.6773258448,0.9424194098,0.9623006582,0.9684489965,1.0,0.9352924824,0.9711062312,0.847476542,0.9457088113,0.9607988596,0.9541246891,0.8693341613,0.9056645036,0.9413874149,0.9503788948,0.9506431818,0.9519405365,0.9431291819,0.935167253,0.9392423034,0.9379953146,0.9227269888,0.933883369,0.8913570642,0.9133933187,0.9290117621,0.9228607416,0.9116076827,0.8563013077,0.9309609532
m5,0.6620019674,0.9156128764,0.9201999903,0.9154115319,0.9352924824,1.0,0.9338822365,0.8284098506,0.9291517735,0.9277741313,0.930777669,0.8543617725,0.8687666655,0.9101815224,0.9297549725,0.9136856198,0.9245465398,0.9222630858,0.8981559277,0.9070594907,0.9035554528,0.8853996992,0.8955298662,0.8521994352,0.8849290609,0.8938448429,0.8918389082,0.8791842461,0.8374179602,0.9022490382
m6,0.6626330018,0.947196722,0.9530887604,0.9642322063,0.9711062312,0.9338822365,1.0,0.8455036879,0.9550622106,0.9678202868,0.9555262923,0.8931882977,0.9184760451,0.9416666031,0.9508805275,0.9563164711,0.9474891424,0.9393432736,0.9341534376,0.9395524859,0.930239141,0.9170571566,0.9315658808,0.8785552382,0.9037140012,0.9191508293,0.9114316106,0.9026950598,0.8457886577,0.9256474972
m7,0.5461498499,0.8120495677,0.8579947352,0.8475418091,0.847476542,0.8284098506,0.8455036879,1.0,0.8465740681,0.844958961,0.8412760496,0.7918233871,0.8113681674,0.8360627294,0.8371624947,0.8354015946,0.848530829,0.8466249704,0.8430430889,0.8442813158,0.8345767856,0.8318814039,0.8325386643,0.8213189244,0.8248471022,0.8370588422,0.8348430395,0.8321093917,0.879526794,0.8271712661
m8,0.651633203,0.9073283076,0.9332886338,0.9513790011,0.9457088113,0.9291517735,0.9550622106,0.8465740681,1.0,0.9664427638,0.9673824906,0.8563483953,0.8919360638,0.9330348969,0.9606987238,0.9395190477,0.9381890893,0.9492512345,0.9287045598,0.9333078265,0.9276815057,0.8972268701,0.9250549078,0.889662683,0.9118172526,0.9178057313,0.9147945642,0.917106688,0.8543123603,0.9187562466
m9,0.6385365129,0.9184564352,0.9335056543,0.9525534511,0.9607988596,0.9277741313,0.9678202868,0.844958961,0.9664427638,1.0,0.9647485614,0.8770422935,0.9141197205,0.9525820017,0.9697477221,0.9671622515,0.9603931904,0.9600176215,0.9474298358,0.9581775069,0.9508046508,0.9267297387,0.9478067756,0.8984496593,0.9319635034,0.9399236441,0.9348257184,0.927180469,0.8633167148,0.9430792928
