Models,BestSingleAcc,AddedModel,AddedModelAcc,AddedDeltaFromBase,OracleAcc,OracleDeltaFromBase,HardVoteAcc,SoftVoteAcc
1.0,0.6068003487,model_0,0.6068003487,0.0,0.6068003487,0.0,0.6068003487,0.6068003487
2.0,0.6068003487,model_1,0.6068003487,0.0,0.6399302528,0.0331299041,0.5736704446,0.6068003487
3.0,0.6068003487,model_2,0.6015693112,-0.005231037489,0.662598082,0.05579773322,0.6085440279,0.6050566696
4.0,0.6068003487,model_3,0.6006974717,-0.006102877071,0.6835222319,0.07672188317,0.5815170009,0.6039668701
5.0,0.6068003487,model_4,0.5998256321,-0.006974716652,0.7009590235,0.0941586748,0.6068003487,0.6031386225
6.0,0.6085440279,model_5,0.6085440279,0.001743679163,0.7105492589,0.1037489102,0.5876198779,0.6040395234
7.0,0.6085440279,model_6,0.6015693112,-0.005231037489,0.7183958152,0.1115954664,0.6094158675,0.6036866359
8.0,0.6085440279,model_7,0.5876198779,-0.01918047079,0.7218831735,0.1150828248,0.5876198779,0.6016782912
9.0,0.6085440279,model_8,0.6015693112,-0.005231037489,0.7306015693,0.1238012206,0.6024411508,0.6016661823
10.0,0.6085440279,model_9,0.5867480384,-0.02005231037,0.7340889276,0.1272885789,0.593722755,0.6001743679
11.0,0.6085440279,model_10,0.5919790759,-0.01482127289,0.7367044464,0.1299040976,0.5989537925,0.5994293414
12.0,0.6085440279,model_11,0.5945945946,-0.01220575414,0.7393199651,0.1325196164,0.5876198779,0.5990264458
13.0,0.6085440279,model_12,0.5945945946,-0.01220575414,0.7401918047,0.133391456,0.6006974717,0.5986855342
14.0,0.6085440279,model_13,0.5815170009,-0.02528334786,0.7419354839,0.1351351351,0.5884917175,0.5974592104
15.0,0.6085440279,model_14,0.5919790759,-0.01482127289,0.7471665214,0.1403661726,0.5998256321,0.5970938681
16.0,0.6085440279,model_15,0.6059285092,-0.0008718395815,0.7497820401,0.1429816914,0.5902353967,0.5976460331
17.0,0.6085440279,model_16,0.577157803,-0.02964254577,0.7523975588,0.1455972101,0.593722755,0.5964408431
18.0,0.6085440279,model_17,0.5919790759,-0.01482127289,0.754141238,0.1473408893,0.5876198779,0.5961929672
19.0,0.6085440279,model_18,0.5928509154,-0.0139494333,0.7567567568,0.149956408,0.5972101133,0.5960170697
20.0,0.6085440279,model_19,0.5736704446,-0.0331299041,0.7593722755,0.1525719268,0.5884917175,0.5948997384
21.0,0.6085440279,model_20,0.5867480384,-0.02005231037,0.7593722755,0.1525719268,0.5919790759,0.5945115623
22.0,0.6085440279,model_21,0.5815170009,-0.02528334786,0.7619877942,0.1551874455,0.5876198779,0.5939209004
23.0,0.6085440279,model_22,0.5902353967,-0.01656495205,0.7628596338,0.1560592851,0.5893635571,0.5937606611
24.0,0.6085440279,model_23,0.5850043592,-0.02179598954,0.7654751526,0.1586748038,0.5858761988,0.5933958152
25.0,0.6085440279,model_24,0.5876198779,-0.01918047079,0.7663469922,0.1595466434,0.5911072363,0.5931647777
26.0,0.6085440279,model_25,0.5745422842,-0.03225806452,0.7724498692,0.1656495205,0.5884917175,0.5924485279
27.0,0.6085440279,model_26,0.5858761988,-0.02092414996,0.7741935484,0.1673931997,0.5928509154,0.5922051083
28.0,0.6085440279,model_27,0.5876198779,-0.01918047079,0.7741935484,0.1673931997,0.5884917175,0.5920413501
29.0,0.6085440279,model_28,0.6059285092,-0.0008718395815,0.7759372276,0.1691368788,0.5945945946,0.5925202177
30.0,0.6085440279,model_29,0.5693112467,-0.03748910201,0.7768090671,0.1700087184,0.5911072363,0.5917465853
