Models,BestSingleAcc,AddedModel,AddedModelAcc,AddedDeltaFromBase,OracleAcc,OracleDeltaFromBase,HardVoteAcc,SoftVoteAcc
1.0,0.6076721883,model_0,0.6076721883,0.0,0.6076721883,0.0,0.6076721883,0.6076721883
2.0,0.6076721883,model_1,0.6050566696,-0.002615518745,0.6399302528,0.03225806452,0.5727986051,0.6063644289
3.0,0.6076721883,model_2,0.6024411508,-0.005231037489,0.6495204882,0.04184829991,0.60418483,0.6050566696
4.0,0.6076721883,model_3,0.5989537925,-0.008718395815,0.6591107236,0.05143853531,0.5902353967,0.6035309503
5.0,0.6076721883,model_4,0.5963382738,-0.01133391456,0.662598082,0.05492589364,0.6015693112,0.602092415
6.0,0.6076721883,model_5,0.5963382738,-0.01133391456,0.6713164778,0.06364428945,0.5902353967,0.6011333915
7.0,0.6076721883,model_6,0.6015693112,-0.006102877071,0.6765475153,0.06887532694,0.6033129904,0.6011956657
8.0,0.6076721883,model_7,0.5954664342,-0.01220575414,0.6782911944,0.0706190061,0.593722755,0.6004795118
9.0,0.6076721883,model_8,0.5893635571,-0.01830863121,0.6826503923,0.07497820401,0.6024411508,0.5992444057
10.0,0.6076721883,model_9,0.5954664342,-0.01220575414,0.6843940715,0.07672188317,0.5919790759,0.5988666085
11.0,0.6076721883,model_10,0.593722755,-0.0139494333,0.6870095902,0.07933740192,0.5954664342,0.5983989855
12.0,0.6076721883,model_11,0.5972101133,-0.01046207498,0.6887532694,0.08108108108,0.5919790759,0.5982999128
13.0,0.6076721883,model_12,0.6006974717,-0.006974716652,0.6913687881,0.08369659983,0.5954664342,0.5984843404
14.0,0.6076721883,model_13,0.5911072363,-0.01656495205,0.6922406277,0.08456843941,0.5919790759,0.5979574044
15.0,0.6076721883,model_14,0.5911072363,-0.01656495205,0.6931124673,0.08544027899,0.5963382738,0.5975007265
16.0,0.6076721883,model_15,0.5893635571,-0.01830863121,0.6957279861,0.08805579773,0.5928509154,0.5969921534
17.0,0.6076721883,model_16,0.5841325196,-0.0235396687,0.6983435048,0.09067131648,0.5945945946,0.5962357044
18.0,0.6076721883,model_17,0.5893635571,-0.01830863121,0.700087184,0.09241499564,0.5928509154,0.5958539184
19.0,0.6076721883,model_18,0.5858761988,-0.02179598954,0.7009590235,0.09328683522,0.593722755,0.5953287753
20.0,0.6076721883,model_19,0.58326068,-0.02441150828,0.7018308631,0.0941586748,0.5893635571,0.5947253705
21.0,0.6076721883,model_20,0.5823888405,-0.02528334786,0.7018308631,0.0941586748,0.5919790759,0.5941379167
22.0,0.6076721883,model_21,0.5893635571,-0.01830863121,0.7044463819,0.09677419355,0.5884917175,0.5939209004
23.0,0.6076721883,model_22,0.5876198779,-0.02005231037,0.7044463819,0.09677419355,0.5902353967,0.5936469429
24.0,0.6076721883,model_23,0.58326068,-0.02441150828,0.7079337402,0.1002615519,0.5884917175,0.5932141819
25.0,0.6076721883,model_24,0.58326068,-0.02441150828,0.7079337402,0.1002615519,0.5884917175,0.5928160418
26.0,0.6076721883,model_25,0.5858761988,-0.02179598954,0.7079337402,0.1002615519,0.5876198779,0.5925491248
27.0,0.6076721883,model_26,0.5841325196,-0.0235396687,0.7079337402,0.1002615519,0.5893635571,0.5922373987
28.0,0.6076721883,model_27,0.5815170009,-0.02615518745,0.7096774194,0.102005231,0.5876198779,0.5918545273
29.0,0.6076721883,model_28,0.6033129904,-0.004359197908,0.7096774194,0.102005231,0.5893635571,0.5922496468
30.0,0.6076721883,model_29,0.5841325196,-0.0235396687,0.7096774194,0.102005231,0.5884917175,0.5919790759
