Models,BestSingleAcc,AddedModel,AddedModelAcc,AddedDeltaFromBase,OracleAcc,OracleDeltaFromBase,HardVoteAcc,SoftVoteAcc
1.0,0.7767503303,model_0,0.7767503303,0.0,0.7767503303,0.0,0.7767503303,0.7767503303
2.0,0.7767503303,model_1,0.7697049758,-0.007045354469,0.8031704095,0.02642007926,0.7432848965,0.773227653
3.0,0.7837956847,model_2,0.7837956847,0.007045354469,0.8238661383,0.04711580801,0.7749889916,0.7767503303
4.0,0.7837956847,model_3,0.7780713342,0.001321003963,0.8388375165,0.06208718626,0.7622192867,0.7770805812
5.0,0.7837956847,model_4,0.7785116689,0.001761338617,0.8516072215,0.07485689124,0.7785116689,0.7773667988
6.0,0.7837956847,model_5,0.7837956847,0.007045354469,0.856010568,0.07926023778,0.7679436372,0.7784382798
7.0,0.7837956847,model_6,0.7710259797,-0.005724350506,0.8617349185,0.08498458829,0.7815940114,0.7773793798
8.0,0.7837956847,model_7,0.7692646411,-0.007485689124,0.8639365918,0.08718626156,0.7679436372,0.7763650374
9.0,0.7837956847,model_8,0.7679436372,-0.008806693087,0.8652575958,0.08850726552,0.7789520035,0.7754293263
10.0,0.7837956847,model_9,0.7622192867,-0.01453104359,0.8665785997,0.08982826948,0.7683839718,0.7741083223
11.0,0.7837956847,model_10,0.7771906649,0.0004403346543,0.868780273,0.09202994276,0.7771906649,0.7743885353
12.0,0.7837956847,model_11,0.7661822985,-0.0105680317,0.8705416116,0.09379128137,0.7692646411,0.7737046822
13.0,0.7837956847,model_12,0.7754293263,-0.001321003963,0.8714222809,0.09467195068,0.7776309996,0.7738373472
14.0,0.7837956847,model_13,0.761778952,-0.01497137825,0.8736239542,0.09687362395,0.7701453104,0.7729760332
15.0,0.7837956847,model_14,0.7701453104,-0.006605019815,0.8758256275,0.09907529723,0.7789520035,0.7727873184
16.0,0.7837956847,model_15,0.761778952,-0.01497137825,0.8767062968,0.09995596653,0.7714663144,0.7720992955
17.0,0.7837956847,model_16,0.7811536768,0.004403346543,0.8806693087,0.1039189784,0.7780713342,0.7726319061
18.0,0.7837956847,model_17,0.7622192867,-0.01453104359,0.8819903126,0.1052399824,0.7719066491,0.7720534273
19.0,0.7837956847,model_18,0.7692646411,-0.007485689124,0.8833113166,0.1065609863,0.7807133421,0.7719066491
20.0,0.7837956847,model_19,0.7692646411,-0.007485689124,0.8859533245,0.1092029943,0.7719066491,0.7717745487
21.0,0.7837956847,model_20,0.7714663144,-0.005284015852,0.8872743285,0.1105239982,0.7793923382,0.7717598708
22.0,0.7837956847,model_21,0.7547335975,-0.02201673272,0.8894760018,0.1127256715,0.7701453104,0.7709859493
23.0,0.7837956847,model_22,0.7758696609,-0.0008806693087,0.8903566711,0.1136063408,0.7771906649,0.7711982846
24.0,0.7837956847,model_23,0.773227653,-0.003522677235,0.891677675,0.1149273448,0.7723469837,0.7712828416
25.0,0.7837956847,model_24,0.7542932629,-0.02245706737,0.8921180097,0.1153676794,0.7749889916,0.7706032585
26.0,0.7837956847,model_25,0.7498899163,-0.02686041391,0.894319683,0.1175693527,0.7692646411,0.7698065915
27.0,0.7837956847,model_26,0.7472479084,-0.02950242184,0.8952003523,0.118450022,0.774548657,0.7689710847
28.0,0.7837956847,model_27,0.7635402906,-0.01321003963,0.8960810216,0.1193306913,0.7697049758,0.7687771278
29.0,0.7837956847,model_28,0.7657419639,-0.01100836636,0.8960810216,0.1193306913,0.7723469837,0.7686724669
30.0,0.7837956847,model_29,0.7683839718,-0.008366358432,0.8965213562,0.119771026,0.7697049758,0.7686628504
