Models,BestSingleAcc,AddedModel,AddedModelAcc,AddedDeltaFromBase,OracleAcc,OracleDeltaFromBase,HardVoteAcc,SoftVoteAcc
1.0,0.798767063,model_0,0.798767063,0.0,0.798767063,0.0,0.798767063,0.798767063
2.0,0.798767063,model_1,0.7714663144,-0.02730074857,0.822985469,0.02421840599,0.7472479084,0.7851166887
3.0,0.798767063,model_2,0.7758696609,-0.02289740203,0.8291501541,0.03038309115,0.7798326728,0.7820343461
4.0,0.798767063,model_3,0.7820343461,-0.01673271686,0.8397181858,0.04095112285,0.7653016292,0.7820343461
5.0,0.798767063,model_4,0.7688243065,-0.02994275649,0.8428005284,0.04403346543,0.7771906649,0.7793923382
6.0,0.798767063,model_5,0.7829150154,-0.01585204756,0.8489652136,0.05019815059,0.7692646411,0.779979451
7.0,0.798767063,model_6,0.7776309996,-0.02113606341,0.8529282255,0.05416116248,0.7820343461,0.779643958
8.0,0.798767063,model_7,0.7736679877,-0.0250990753,0.8551298987,0.05636283576,0.7741083223,0.7788969617
9.0,0.798767063,model_8,0.7780713342,-0.02069572875,0.8568912373,0.05812417437,0.7785116689,0.7788052253
10.0,0.798767063,model_9,0.7798326728,-0.01893439014,0.8604139146,0.06164685161,0.7736679877,0.7789079701
11.0,0.798767063,model_10,0.7767503303,-0.02201673272,0.8608542492,0.06208718626,0.7793923382,0.778711821
12.0,0.798767063,model_11,0.7798326728,-0.01893439014,0.8612945839,0.06252752092,0.774548657,0.7788052253
13.0,0.798767063,model_12,0.7802730075,-0.01849405548,0.8639365918,0.06516952884,0.7785116689,0.7789181316
14.0,0.798767063,model_13,0.7749889916,-0.02377807133,0.8643769265,0.0656098635,0.773227653,0.7786374788
15.0,0.798767063,model_14,0.7657419639,-0.03302509908,0.8643769265,0.0656098635,0.7776309996,0.7777777778
16.0,0.798767063,model_15,0.7824746808,-0.01629238221,0.8648172611,0.06605019815,0.7758696609,0.7780713342
17.0,0.798767063,model_16,0.7657419639,-0.03302509908,0.8648172611,0.06605019815,0.7780713342,0.7773460771
18.0,0.798767063,model_17,0.760457948,-0.03830911493,0.8656979304,0.06693086746,0.7741083223,0.7764078477
19.0,0.798767063,model_18,0.7723469837,-0.02642007926,0.8665785997,0.06781153677,0.7785116689,0.7761941181
20.0,0.798767063,model_19,0.7573756055,-0.04139145751,0.8670189344,0.06825187142,0.7736679877,0.7752531924
21.0,0.798767063,model_20,0.774548657,-0.02421840599,0.867459269,0.06869220608,0.7767503303,0.7752196431
22.0,0.798767063,model_21,0.7824746808,-0.01629238221,0.8678996037,0.06913254073,0.7736679877,0.7755494176
23.0,0.798767063,model_22,0.7763099956,-0.02245706737,0.8683399384,0.06957287539,0.7776309996,0.7755824862
24.0,0.798767063,model_23,0.7697049758,-0.02906208719,0.8683399384,0.06957287539,0.7723469837,0.7753375899
25.0,0.798767063,model_24,0.7701453104,-0.02862175253,0.868780273,0.07001321004,0.7763099956,0.7751298987
26.0,0.798767063,model_25,0.773227653,-0.02553940995,0.868780273,0.07001321004,0.7723469837,0.7750567354
27.0,0.798767063,model_26,0.7741083223,-0.02465874064,0.8692206077,0.07045354469,0.7776309996,0.775021609
28.0,0.798767063,model_27,0.7644209599,-0.03434610304,0.8696609423,0.07089387935,0.7736679877,0.7746430144
29.0,0.798767063,model_28,0.784676354,-0.01409070894,0.8696609423,0.07089387935,0.7767503303,0.7749889916
30.0,0.798767063,model_29,0.7538529282,-0.04491413474,0.8705416116,0.07177454866,0.7736679877,0.7742844562
