Models,BestSingleAcc,AddedModel,AddedModelAcc,AddedDeltaFromBase,OracleAcc,OracleDeltaFromBase,HardVoteAcc,SoftVoteAcc
1.0,0.7749889916,model_0,0.7749889916,0.0,0.7749889916,0.0,0.7749889916,0.7749889916
2.0,0.7749889916,model_1,0.7736679877,-0.001321003963,0.7983267283,0.02333773668,0.750330251,0.7743284897
3.0,0.7789520035,model_2,0.7789520035,0.003963011889,0.810215764,0.03522677235,0.7789520035,0.7758696609
4.0,0.7789520035,model_3,0.7644209599,-0.0105680317,0.8177014531,0.04271246147,0.7608982827,0.7730074857
5.0,0.7789520035,model_4,0.7688243065,-0.006164685161,0.821664465,0.04667547336,0.7758696609,0.7721708498
6.0,0.7789520035,model_5,0.7683839718,-0.006605019815,0.8256274769,0.05063848525,0.7675033025,0.7715397035
7.0,0.7789520035,model_6,0.7679436372,-0.007045354469,0.8282694848,0.05328049317,0.773227653,0.7710259797
8.0,0.7789520035,model_7,0.7661822985,-0.008806693087,0.8295904888,0.05460149714,0.7648612946,0.7704205196
9.0,0.7789520035,model_8,0.7626596213,-0.01232937032,0.8309114927,0.0559225011,0.7701453104,0.7695581976
10.0,0.7789520035,model_9,0.7644209599,-0.0105680317,0.8335535007,0.05856450903,0.7626596213,0.7690444738
11.0,0.7789520035,model_10,0.7626596213,-0.01232937032,0.8353148393,0.06032584764,0.7679436372,0.7684640327
12.0,0.7789520035,model_11,0.7666226332,-0.008366358432,0.8366358432,0.06164685161,0.7657419639,0.7683105827
13.0,0.7789520035,model_12,0.7701453104,-0.004843681198,0.8383971819,0.06340819022,0.7679436372,0.7684517156
14.0,0.7789520035,model_13,0.7600176134,-0.01497137825,0.8397181858,0.06472919419,0.7648612946,0.7678492797
15.0,0.7789520035,model_14,0.773227653,-0.001761338617,0.8401585205,0.06516952884,0.7683839718,0.768207838
16.0,0.7789520035,model_15,0.7644209599,-0.0105680317,0.8419198591,0.06693086746,0.7644209599,0.7679711581
17.0,0.7789520035,model_16,0.7622192867,-0.01276970498,0.844561867,0.06957287539,0.7666226332,0.7676328127
18.0,0.7789520035,model_17,0.7600176134,-0.01497137825,0.8454425363,0.07045354469,0.7626596213,0.7672097461
19.0,0.7789520035,model_18,0.7719066491,-0.00308234258,0.8467635403,0.07177454866,0.7670629679,0.7674569515
20.0,0.7789520035,model_19,0.7657419639,-0.009247027741,0.8480845443,0.07309555262,0.7639806253,0.7673712021
21.0,0.7789520035,model_20,0.763099956,-0.01188903567,0.8502862175,0.07529722589,0.7657419639,0.7671678094
22.0,0.7789520035,model_21,0.7608982827,-0.01409070894,0.8511668868,0.0761778952,0.763099956,0.766882831
23.0,0.7789520035,model_22,0.7613386173,-0.01365037428,0.8511668868,0.0761778952,0.7661822985,0.7666417782
24.0,0.7789520035,model_23,0.761778952,-0.01321003963,0.8520475561,0.07705856451,0.7639806253,0.7664391604
25.0,0.7789520035,model_24,0.7653016292,-0.009687362395,0.8520475561,0.07705856451,0.7666226332,0.7663936592
26.0,0.7789520035,model_25,0.7591369441,-0.01585204756,0.8520475561,0.07705856451,0.763099956,0.7661145548
27.0,0.7789520035,model_26,0.7542932629,-0.02069572875,0.8520475561,0.07705856451,0.7657419639,0.7656767291
28.0,0.7789520035,model_27,0.7498899163,-0.0250990753,0.8520475561,0.07705856451,0.7622192867,0.7651129144
29.0,0.7789520035,model_28,0.761778952,-0.01321003963,0.8520475561,0.07705856451,0.7644209599,0.7649979502
30.0,0.7789520035,model_29,0.7657419639,-0.009247027741,0.8524878908,0.07749889916,0.7626596213,0.7650227506
