Models,BestSingleAcc,AddedModel,AddedModelAcc,AddedDeltaFromBase,OracleAcc,OracleDeltaFromBase,HardVoteAcc,SoftVoteAcc
1.0,0.2474747475,model_0,0.2474747475,0.0,0.2474747475,0.0,0.2474747475,0.2474747475
2.0,0.2777777778,model_1,0.2777777778,0.0303030303,0.4141414141,0.1666666667,0.1111111111,0.2626262626
3.0,0.2878787879,model_2,0.2878787879,0.0404040404,0.5101010101,0.2626262626,0.2424242424,0.271043771
4.0,0.2878787879,model_3,0.2727272727,0.02525252525,0.601010101,0.3535353535,0.1313131313,0.2714646465
5.0,0.2878787879,model_4,0.2777777778,0.0303030303,0.6666666667,0.4191919192,0.1868686869,0.2727272727
6.0,0.2878787879,model_5,0.2626262626,0.01515151515,0.7171717172,0.4696969697,0.1212121212,0.271043771
7.0,0.2878787879,model_6,0.2474747475,0.0,0.7474747475,0.5,0.1616161616,0.2676767677
8.0,0.2878787879,model_7,0.2727272727,0.02525252525,0.7727272727,0.5252525253,0.1161616162,0.2683080808
9.0,0.2878787879,model_8,0.2575757576,0.0101010101,0.7929292929,0.5454545455,0.1313131313,0.2671156004
10.0,0.2878787879,model_9,0.2575757576,0.0101010101,0.803030303,0.5555555556,0.1060606061,0.2661616162
11.0,0.2878787879,model_10,0.2222222222,-0.02525252525,0.8131313131,0.5656565657,0.1262626263,0.2621671258
12.0,0.2878787879,model_11,0.2070707071,-0.0404040404,0.8232323232,0.5757575758,0.101010101,0.2575757576
13.0,0.2878787879,model_12,0.2777777778,0.0303030303,0.8383838384,0.5909090909,0.1212121212,0.2591297591
14.0,0.2878787879,model_13,0.2575757576,0.0101010101,0.8535353535,0.6060606061,0.09090909091,0.259018759
15.0,0.2878787879,model_14,0.2373737374,-0.0101010101,0.8737373737,0.6262626263,0.1161616162,0.2575757576
16.0,0.2878787879,model_15,0.2575757576,0.0101010101,0.8787878788,0.6313131313,0.08080808081,0.2575757576
17.0,0.2878787879,model_16,0.2121212121,-0.03535353535,0.8838383838,0.6363636364,0.09595959596,0.2549019608
18.0,0.2878787879,model_17,0.2474747475,0.0,0.904040404,0.6565656566,0.07575757576,0.2544893378
19.0,0.2878787879,model_18,0.2525252525,0.005050505051,0.9090909091,0.6616161616,0.09595959596,0.2543859649
20.0,0.2878787879,model_19,0.2424242424,-0.005050505051,0.9141414141,0.6666666667,0.08080808081,0.2537878788
21.0,0.2878787879,model_20,0.2474747475,0.0,0.9141414141,0.6666666667,0.08585858586,0.2534872535
22.0,0.2878787879,model_21,0.2474747475,0.0,0.9141414141,0.6666666667,0.07070707071,0.2532139578
23.0,0.2878787879,model_22,0.2727272727,0.02525252525,0.9141414141,0.6666666667,0.08080808081,0.2540623628
24.0,0.2878787879,model_23,0.2727272727,0.02525252525,0.9242424242,0.6767676768,0.07575757576,0.2548400673
25.0,0.3080808081,model_24,0.3080808081,0.06060606061,0.9242424242,0.6767676768,0.08080808081,0.256969697
26.0,0.3080808081,model_25,0.2525252525,0.005050505051,0.9242424242,0.6767676768,0.07070707071,0.2567987568
27.0,0.3080808081,model_26,0.2323232323,-0.01515151515,0.9292929293,0.6818181818,0.07575757576,0.2558922559
28.0,0.3080808081,model_27,0.2121212121,-0.03535353535,0.9292929293,0.6818181818,0.06060606061,0.2543290043
29.0,0.3080808081,model_28,0.2676767677,0.0202020202,0.9292929293,0.6818181818,0.07575757576,0.254789272
30.0,0.3080808081,model_29,0.2878787879,0.0404040404,0.9292929293,0.6818181818,0.07070707071,0.2558922559
