Models,BestSingleAcc,AddedModel,AddedModelAcc,AddedDeltaFromBase,OracleAcc,OracleDeltaFromBase,HardVoteAcc,SoftVoteAcc
1.0,0.2272727273,model_0,0.2272727273,0.0,0.2272727273,0.0,0.2272727273,0.2272727273
2.0,0.2525252525,model_1,0.2525252525,0.02525252525,0.3838383838,0.1565656566,0.09595959596,0.2398989899
3.0,0.3080808081,model_2,0.3080808081,0.08080808081,0.5101010101,0.2828282828,0.2171717172,0.2626262626
4.0,0.3080808081,model_3,0.2878787879,0.06060606061,0.601010101,0.3737373737,0.1414141414,0.2689393939
5.0,0.3080808081,model_4,0.2474747475,0.0202020202,0.6666666667,0.4393939394,0.1818181818,0.2646464646
6.0,0.3080808081,model_5,0.2626262626,0.03535353535,0.7121212121,0.4848484848,0.101010101,0.2643097643
7.0,0.3080808081,model_6,0.2474747475,0.0202020202,0.7424242424,0.5151515152,0.1363636364,0.2619047619
8.0,0.3080808081,model_7,0.2525252525,0.02525252525,0.7777777778,0.5505050505,0.08585858586,0.2607323232
9.0,0.3080808081,model_8,0.2626262626,0.03535353535,0.8181818182,0.5909090909,0.1161616162,0.2609427609
10.0,0.3080808081,model_9,0.2323232323,0.005050505051,0.8434343434,0.6161616162,0.09595959596,0.2580808081
11.0,0.3080808081,model_10,0.2272727273,0.0,0.8535353535,0.6262626263,0.1060606061,0.2552800735
12.0,0.3080808081,model_11,0.2929292929,0.06565656566,0.8737373737,0.6464646465,0.09090909091,0.2584175084
13.0,0.3080808081,model_12,0.2626262626,0.03535353535,0.8838383838,0.6565656566,0.101010101,0.2587412587
14.0,0.3080808081,model_13,0.2474747475,0.0202020202,0.8838383838,0.6565656566,0.09090909091,0.2579365079
15.0,0.3080808081,model_14,0.2424242424,0.01515151515,0.8888888889,0.6616161616,0.1060606061,0.2569023569
16.0,0.3080808081,model_15,0.2373737374,0.0101010101,0.8939393939,0.6666666667,0.07070707071,0.2556818182
17.0,0.3080808081,model_16,0.2626262626,0.03535353535,0.8939393939,0.6666666667,0.09595959596,0.2560903149
18.0,0.3080808081,model_17,0.2424242424,0.01515151515,0.8939393939,0.6666666667,0.07575757576,0.2553310887
19.0,0.3080808081,model_18,0.2070707071,-0.0202020202,0.8939393939,0.6666666667,0.09090909091,0.2527910686
20.0,0.3080808081,model_19,0.2828282828,0.05555555556,0.898989899,0.6717171717,0.06060606061,0.2542929293
21.0,0.3080808081,model_20,0.2525252525,0.02525252525,0.898989899,0.6717171717,0.08080808081,0.2542087542
22.0,0.3080808081,model_21,0.2575757576,0.0303030303,0.898989899,0.6717171717,0.05050505051,0.2543617998
23.0,0.3080808081,model_22,0.2727272727,0.04545454545,0.898989899,0.6717171717,0.08080808081,0.2551602986
24.0,0.3080808081,model_23,0.297979798,0.07070707071,0.898989899,0.6717171717,0.05555555556,0.2569444444
25.0,0.3080808081,model_24,0.2828282828,0.05555555556,0.898989899,0.6717171717,0.07575757576,0.257979798
26.0,0.3080808081,model_25,0.2474747475,0.0202020202,0.898989899,0.6717171717,0.05555555556,0.2575757576
27.0,0.3080808081,model_26,0.2626262626,0.03535353535,0.898989899,0.6717171717,0.06060606061,0.2577628133
28.0,0.3080808081,model_27,0.2171717172,-0.0101010101,0.898989899,0.6717171717,0.05555555556,0.2563131313
29.0,0.3080808081,model_28,0.196969697,-0.0303030303,0.898989899,0.6717171717,0.06060606061,0.254266806
30.0,0.3080808081,model_29,0.2575757576,0.0303030303,0.898989899,0.6717171717,0.03535353535,0.2543771044
