Models,BestSingleAcc,AddedModel,AddedModelAcc,AddedDeltaFromBase,OracleAcc,OracleDeltaFromBase,HardVoteAcc,SoftVoteAcc
1.0,0.2474747475,model_0,0.2474747475,0.0,0.2474747475,0.0,0.2474747475,0.2474747475
2.0,0.2727272727,model_1,0.2727272727,0.02525252525,0.4242424242,0.1767676768,0.09595959596,0.2601010101
3.0,0.3181818182,model_2,0.3181818182,0.07070707071,0.5505050505,0.303030303,0.2373737374,0.2794612795
4.0,0.3181818182,model_3,0.2777777778,0.0303030303,0.6363636364,0.3888888889,0.1212121212,0.279040404
5.0,0.3181818182,model_4,0.2828282828,0.03535353535,0.6818181818,0.4343434343,0.1919191919,0.2797979798
6.0,0.3181818182,model_5,0.2777777778,0.0303030303,0.7424242424,0.4949494949,0.1212121212,0.2794612795
7.0,0.3181818182,model_6,0.2424242424,-0.005050505051,0.7626262626,0.5151515152,0.1717171717,0.2741702742
8.0,0.3181818182,model_7,0.2323232323,-0.01515151515,0.7777777778,0.5303030303,0.1161616162,0.2689393939
9.0,0.3181818182,model_8,0.2626262626,0.01515151515,0.797979798,0.5505050505,0.1414141414,0.2682379349
10.0,0.3181818182,model_9,0.2474747475,0.0,0.8131313131,0.5656565657,0.1111111111,0.2661616162
11.0,0.3181818182,model_10,0.2424242424,-0.005050505051,0.8434343434,0.595959596,0.1212121212,0.2640036731
12.0,0.3181818182,model_11,0.2929292929,0.04545454545,0.8686868687,0.6212121212,0.101010101,0.2664141414
13.0,0.3181818182,model_12,0.2676767677,0.0202020202,0.8787878788,0.6313131313,0.1212121212,0.2665112665
14.0,0.3181818182,model_13,0.2373737374,-0.0101010101,0.8838383838,0.6363636364,0.08585858586,0.2644300144
15.0,0.3181818182,model_14,0.2222222222,-0.02525252525,0.8888888889,0.6414141414,0.09595959596,0.2616161616
16.0,0.3181818182,model_15,0.2373737374,-0.0101010101,0.8939393939,0.6464646465,0.08080808081,0.2601010101
17.0,0.3181818182,model_16,0.2626262626,0.01515151515,0.898989899,0.6515151515,0.09595959596,0.2602495544
18.0,0.3181818182,model_17,0.2474747475,0.0,0.904040404,0.6565656566,0.08080808081,0.2595398429
19.0,0.3181818182,model_18,0.2222222222,-0.02525252525,0.9090909091,0.6616161616,0.09595959596,0.2575757576
20.0,0.3181818182,model_19,0.2626262626,0.01515151515,0.9090909091,0.6616161616,0.08080808081,0.2578282828
21.0,0.3181818182,model_20,0.2424242424,-0.005050505051,0.9090909091,0.6616161616,0.08585858586,0.2570947571
22.0,0.3181818182,model_21,0.303030303,0.05555555556,0.9090909091,0.6616161616,0.07070707071,0.2591827365
23.0,0.3181818182,model_22,0.2323232323,-0.01515151515,0.9090909091,0.6616161616,0.07575757576,0.2580149319
24.0,0.3181818182,model_23,0.303030303,0.05555555556,0.9191919192,0.6717171717,0.05555555556,0.2598905724
25.0,0.3181818182,model_24,0.2929292929,0.04545454545,0.9191919192,0.6717171717,0.07575757576,0.2612121212
26.0,0.3181818182,model_25,0.2474747475,0.0,0.9191919192,0.6717171717,0.05050505051,0.2606837607
27.0,0.3181818182,model_26,0.2323232323,-0.01515151515,0.9191919192,0.6717171717,0.06565656566,0.2596333707
28.0,0.3181818182,model_27,0.2373737374,-0.0101010101,0.9191919192,0.6717171717,0.06060606061,0.2588383838
29.0,0.3181818182,model_28,0.2575757576,0.0101010101,0.9292929293,0.6818181818,0.07070707071,0.258794845
30.0,0.3181818182,model_29,0.2474747475,0.0,0.9292929293,0.6818181818,0.05555555556,0.2584175084
