Models,BestSingleAcc,AddedModel,AddedModelAcc,AddedDeltaFromBase,OracleAcc,OracleDeltaFromBase,HardVoteAcc,SoftVoteAcc
1.0,0.4442759666,model_0,0.4442759666,0.0,0.4442759666,0.0,0.4442759666,0.4442759666
2.0,0.4442759666,model_1,0.4154662623,-0.02880970432,0.5883244882,0.1440485216,0.2714177407,0.4298711145
3.0,0.4442759666,model_2,0.3153904473,-0.1288855193,0.6391205459,0.1948445792,0.3843821077,0.3917108921
4.0,0.4442759666,model_3,0.3502653525,-0.0940106141,0.6853677028,0.2410917362,0.2729340409,0.3813495072
5.0,0.4677786202,model_4,0.4677786202,0.02350265353,0.7369219105,0.2926459439,0.3851402578,0.3986353298
6.0,0.4677786202,model_5,0.1387414708,-0.3055344958,0.7482941622,0.3040181956,0.2592873389,0.3553196866
7.0,0.4677786202,model_6,0.2941622441,-0.1501137225,0.7626990144,0.3184230478,0.3237300986,0.3465829091
8.0,0.4677786202,model_7,0.3138741471,-0.1304018196,0.7763457165,0.3320697498,0.2539802881,0.3424943139
9.0,0.4677786202,model_8,0.09780136467,-0.346474602,0.7808946171,0.3366186505,0.2699014405,0.3153062084
10.0,0.4677786202,model_9,0.2228961334,-0.2213798332,0.7854435178,0.3411675512,0.2047005307,0.3060652009
11.0,0.4677786202,model_10,0.1971190296,-0.2471569371,0.7937831691,0.3495072024,0.2395754359,0.2961610035
12.0,0.4677786202,model_11,0.4010614102,-0.04321455648,0.8074298711,0.3631539045,0.213040182,0.3049027041
13.0,0.4723275208,model_12,0.4723275208,0.02805155421,0.8195602729,0.3752843063,0.2691432904,0.3177815361
14.0,0.4723275208,model_13,0.1152388173,-0.3290371494,0.8218347233,0.3775587566,0.2084912813,0.3033141991
15.0,0.4723275208,model_14,0.2547384382,-0.1895375284,0.8286580743,0.3843821077,0.2418498863,0.300075815
16.0,0.4723275208,model_15,0.1539044731,-0.2903714936,0.8309325246,0.386656558,0.1834723275,0.2909401061
17.0,0.4723275208,model_16,0.3912054587,-0.05307050796,0.8438210766,0.3995451099,0.2388172858,0.2968380681
18.0,0.4723275208,model_17,0.2744503412,-0.1698256255,0.8453373768,0.4010614102,0.1986353298,0.2955943055
19.0,0.4723275208,model_18,0.05989385898,-0.3843821077,0.8476118271,0.4033358605,0.2054586808,0.2831890188
20.0,0.4723275208,model_19,0.2206216831,-0.2236542835,0.8514025777,0.4071266111,0.1728582259,0.280060652
21.0,0.4723275208,model_20,0.007581501137,-0.4366944655,0.8514025777,0.4071266111,0.173616376,0.2670854543
22.0,0.4723275208,model_21,0.09704321456,-0.3472327521,0.8521607278,0.4078847612,0.1304018196,0.2593562616
23.0,0.4723275208,model_22,0.3373768006,-0.106899166,0.8567096285,0.4124336619,0.1614859742,0.262748459
24.0,0.4723275208,model_23,0.006823351024,-0.4374526156,0.8574677786,0.413191812,0.1190295679,0.2520849128
25.0,0.4723275208,model_24,0.01288855193,-0.4313874147,0.8574677786,0.413191812,0.119787718,0.2425170584
26.0,0.4723275208,model_25,0.02274450341,-0.4215314632,0.8574677786,0.413191812,0.07657316149,0.2340642678
27.0,0.4723275208,model_26,0.01743745262,-0.426838514,0.8574677786,0.413191812,0.07884761183,0.2260410524
28.0,0.4723275208,model_27,0.05989385898,-0.3843821077,0.8582259287,0.4139499621,0.04927975739,0.2201072241
29.0,0.4723275208,model_28,0.1425322214,-0.3017437453,0.8612585292,0.4169825625,0.05913570887,0.217432224
30.0,0.4723275208,model_29,0.05382865807,-0.3904473086,0.8620166793,0.4177407127,0.0386656558,0.2119787718
