Models,BestSingleAcc,AddedModel,AddedModelAcc,AddedDeltaFromBase,OracleAcc,OracleDeltaFromBase,HardVoteAcc,SoftVoteAcc
1.0,0.5056861259,model_0,0.5056861259,0.0,0.5056861259,0.0,0.5056861259,0.5056861259
2.0,0.5056861259,model_1,0.3563305534,-0.1493555724,0.6103108415,0.1046247157,0.2517058378,0.4310083397
3.0,0.5056861259,model_2,0.253222138,-0.2524639879,0.6520090978,0.1463229719,0.3457164519,0.3717462724
4.0,0.5056861259,model_3,0.2524639879,-0.253222138,0.6815769522,0.1758908264,0.2100075815,0.3419257013
5.0,0.5056861259,model_4,0.2782410917,-0.2274450341,0.6967399545,0.1910538287,0.2789992418,0.3291887794
6.0,0.5056861259,model_5,0.3320697498,-0.173616376,0.7240333586,0.2183472328,0.2274450341,0.3296689411
7.0,0.5056861259,model_6,0.2645943897,-0.2410917362,0.73313116,0.2274450341,0.2767247915,0.3203725766
8.0,0.5056861259,model_7,0.3153904473,-0.1902956785,0.7490523124,0.2433661865,0.2342683851,0.3197498105
9.0,0.5056861259,model_8,0.2805155421,-0.2251705838,0.7626990144,0.2570128886,0.2683851403,0.3153904473
10.0,0.5056861259,model_9,0.219863533,-0.2858225929,0.7687642153,0.2630780895,0.2206216831,0.3058377559
11.0,0.5056861259,model_10,0.1948445792,-0.3108415466,0.773313116,0.2676269901,0.2380591357,0.2957474671
12.0,0.5056861259,model_11,0.3040181956,-0.2016679303,0.7808946171,0.2752084913,0.2092494314,0.2964366945
13.0,0.5056861259,model_12,0.3411675512,-0.1645185747,0.7862016679,0.2805155421,0.2448824867,0.2998775296
14.0,0.5056861259,model_13,0.3214556482,-0.1842304776,0.7952994693,0.2896133434,0.2183472328,0.3014188238
15.0,0.5056861259,model_14,0.219863533,-0.2858225929,0.7975739196,0.2918877938,0.2365428355,0.2959818044
16.0,0.5056861259,model_15,0.2183472328,-0.2873388931,0.79984837,0.2941622441,0.1986353298,0.2911296437
17.0,0.5056861259,model_16,0.2721758908,-0.233510235,0.8051554208,0.2994692949,0.2236542835,0.290014717
18.0,0.5056861259,model_17,0.1781652767,-0.3275208491,0.8081880212,0.3025018954,0.1971190296,0.2838008592
19.0,0.5056861259,model_18,0.2850644428,-0.2206216831,0.8119787718,0.3062926459,0.2213798332,0.2838673636
20.0,0.5056861259,model_19,0.379833207,-0.1258529189,0.8210765732,0.3153904473,0.206974981,0.2886656558
21.0,0.5056861259,model_20,0.2638362396,-0.2418498863,0.8241091736,0.3184230478,0.2244124337,0.2874833026
22.0,0.5056861259,model_21,0.3070507961,-0.1986353298,0.8286580743,0.3229719484,0.2100075815,0.2883727342
23.0,0.5056861259,model_22,0.2729340409,-0.2327520849,0.833206975,0.3275208491,0.2236542835,0.2877014866
24.0,0.5056861259,model_23,0.3563305534,-0.1493555724,0.8369977255,0.3313115997,0.2137983321,0.2905610311
25.0,0.5056861259,model_24,0.3260045489,-0.179681577,0.8430629265,0.3373768006,0.233510235,0.2919787718
26.0,0.5056861259,model_25,0.3677028052,-0.1379833207,0.8483699773,0.3426838514,0.2236542835,0.2948912346
27.0,0.5056861259,model_26,0.2107657316,-0.2949203942,0.8498862775,0.3442001516,0.233510235,0.2917754752
28.0,0.5056861259,model_27,0.2820318423,-0.2236542835,0.8514025777,0.3457164519,0.219863533,0.2914274884
29.0,0.5056861259,model_28,0.3252463988,-0.1804397271,0.8559514784,0.3502653525,0.2342683851,0.2925936577
30.0,0.5056861259,model_29,0.1455648218,-0.360121304,0.8574677786,0.3517816528,0.2221379833,0.2876926965
