Models,BestSingleAcc,AddedModel,AddedModelAcc,AddedDeltaFromBase,OracleAcc,OracleDeltaFromBase,HardVoteAcc,SoftVoteAcc
1.0,0.4450341168,model_0,0.4450341168,0.0,0.4450341168,0.0,0.4450341168,0.4450341168
2.0,0.4450341168,model_1,0.4351781653,-0.009855951478,0.579984837,0.1349507202,0.300227445,0.440106141
3.0,0.4450341168,model_2,0.4420015163,-0.003032600455,0.6429112964,0.1978771797,0.4404852161,0.4407379328
4.0,0.4450341168,model_3,0.4412433662,-0.003790750569,0.6891584534,0.2441243366,0.3646702047,0.4408642911
5.0,0.4450341168,model_4,0.3904473086,-0.05458680819,0.7096285064,0.2645943897,0.4169825625,0.4307808946
6.0,0.4450341168,model_5,0.4147081122,-0.03032600455,0.7323730099,0.2873388931,0.3714935557,0.4281020975
7.0,0.4450341168,model_6,0.4086429113,-0.03639120546,0.7513267627,0.3062926459,0.4101592115,0.4253222138
8.0,0.4852160728,model_7,0.4852160728,0.04018195603,0.7824109174,0.3373768006,0.3874147081,0.4328089462
9.0,0.4852160728,model_8,0.3548142532,-0.09021986353,0.7922668688,0.3472327521,0.4147081122,0.4241428692
10.0,0.4852160728,model_9,0.1485974223,-0.2964366945,0.79984837,0.3548142532,0.3570887036,0.3965883245
11.0,0.4852160728,model_10,0.4253222138,-0.01971190296,0.8089461713,0.3639120546,0.3904473086,0.3992004962
12.0,0.4852160728,model_11,0.393479909,-0.05155420773,0.820318423,0.3752843063,0.3578468537,0.3987237806
13.0,0.4852160728,model_12,0.1038665656,-0.3411675512,0.8241091736,0.3790750569,0.3677028052,0.3760424564
14.0,0.4852160728,model_13,0.3290371494,-0.1159969674,0.8324488249,0.3874147081,0.3358605004,0.3726849345
15.0,0.4852160728,model_14,0.3836239575,-0.06141015921,0.8430629265,0.3980288097,0.3631539045,0.3734142027
16.0,0.4852160728,model_15,0.3858984079,-0.05913570887,0.8453373768,0.40030326,0.3373768006,0.3741944655
17.0,0.4852160728,model_16,0.3972706596,-0.04776345716,0.8498862775,0.4048521607,0.366944655,0.3755518887
18.0,0.4852160728,model_17,0.4677786202,0.02274450341,0.8567096285,0.4116755118,0.3510235027,0.380675596
19.0,0.4852160728,model_18,0.433661865,-0.01137225171,0.8612585292,0.4162244124,0.3805913571,0.383464347
20.0,0.4852160728,model_19,0.3874147081,-0.05761940864,0.8650492798,0.420015163,0.3593631539,0.383661865
21.0,0.4852160728,model_20,0.4275966641,-0.01743745262,0.8673237301,0.4222896133,0.3790750569,0.3857539983
22.0,0.4852160728,model_21,0.3586050038,-0.08642911296,0.8703563306,0.4253222138,0.3631539045,0.3845199531
23.0,0.4852160728,model_22,0.3874147081,-0.05761940864,0.8711144807,0.4260803639,0.3752843063,0.384645812
24.0,0.4852160728,model_23,0.2903714936,-0.1546626232,0.873388931,0.4283548143,0.3548142532,0.3807177154
25.0,0.4852160728,model_24,0.3737680061,-0.07126611069,0.8786959818,0.433661865,0.3661865049,0.3804397271
26.0,0.4852160728,model_25,0.4344200152,-0.01061410159,0.8817285823,0.4366944655,0.3517816528,0.382515892
27.0,0.4852160728,model_26,0.3980288097,-0.04700530705,0.8824867324,0.4374526156,0.3654283548,0.3830904445
28.0,0.4852160728,model_27,0.286580743,-0.1584533738,0.8832448825,0.4382107657,0.3495072024,0.3796436694
29.0,0.4852160728,model_28,0.4329037149,-0.01213040182,0.8862774829,0.4412433662,0.3677028052,0.3814802227
30.0,0.4852160728,model_29,0.4056103108,-0.03942380591,0.8870356331,0.4420015163,0.3563305534,0.382284559
