Models,BestSingleAcc,AddedModel,AddedModelAcc,AddedDeltaFromBase,OracleAcc,OracleDeltaFromBase,HardVoteAcc,SoftVoteAcc
1.0,0.4634146341,model_0,0.4634146341,0.0,0.4634146341,0.0,0.4634146341,0.4634146341
2.0,0.5853658537,model_1,0.5853658537,0.1219512195,0.6463414634,0.1829268293,0.4024390244,0.5243902439
3.0,0.5853658537,model_2,0.5853658537,0.1219512195,0.7073170732,0.243902439,0.5609756098,0.5447154472
4.0,0.5853658537,model_3,0.2804878049,-0.1829268293,0.7317073171,0.2682926829,0.4634146341,0.4786585366
5.0,0.5853658537,model_4,0.5609756098,0.09756097561,0.75,0.2865853659,0.5426829268,0.4951219512
6.0,0.5853658537,model_5,0.4817073171,0.01829268293,0.7682926829,0.3048780488,0.487804878,0.4928861789
7.0,0.5853658537,model_6,0.3231707317,-0.1402439024,0.7682926829,0.3048780488,0.5182926829,0.468641115
8.0,0.5853658537,model_7,0.4695121951,0.006097560976,0.7743902439,0.3109756098,0.4695121951,0.46875
9.0,0.5853658537,model_8,0.2926829268,-0.1707317073,0.7804878049,0.3170731707,0.4817073171,0.4491869919
10.0,0.5853658537,model_9,0.4573170732,-0.006097560976,0.7804878049,0.3170731707,0.4573170732,0.45
11.0,0.5853658537,model_10,0.3780487805,-0.08536585366,0.7865853659,0.3231707317,0.493902439,0.44345898
12.0,0.5853658537,model_11,0.3597560976,-0.1036585366,0.7865853659,0.3231707317,0.4268292683,0.4364837398
13.0,0.5853658537,model_12,0.5243902439,0.06097560976,0.7865853659,0.3231707317,0.493902439,0.4432457786
14.0,0.5853658537,model_13,0.487804878,0.0243902439,0.7865853659,0.3231707317,0.4451219512,0.4464285714
15.0,0.5853658537,model_14,0.3780487805,-0.08536585366,0.7865853659,0.3231707317,0.5,0.4418699187
16.0,0.5853658537,model_15,0.512195122,0.0487804878,0.7865853659,0.3231707317,0.4512195122,0.4462652439
17.0,0.5853658537,model_16,0.2073170732,-0.256097561,0.7865853659,0.3231707317,0.4695121951,0.4322094692
18.0,0.5853658537,model_17,0.3292682927,-0.1341463415,0.7865853659,0.3231707317,0.4146341463,0.4264905149
19.0,0.5853658537,model_18,0.2195121951,-0.243902439,0.7865853659,0.3231707317,0.4573170732,0.4155969191
20.0,0.5853658537,model_19,0.3597560976,-0.1036585366,0.7865853659,0.3231707317,0.3780487805,0.412804878
21.0,0.6768292683,model_20,0.6768292683,0.2134146341,0.7926829268,0.3292682927,0.487804878,0.4253774681
22.0,0.6768292683,model_21,0.3292682927,-0.1341463415,0.7926829268,0.3292682927,0.4085365854,0.4210088692
23.0,0.6768292683,model_22,0.5,0.03658536585,0.7926829268,0.3292682927,0.4756097561,0.4244432662
24.0,0.6768292683,model_23,0.1951219512,-0.2682926829,0.7926829268,0.3292682927,0.4146341463,0.4148882114
25.0,0.6768292683,model_24,0.3841463415,-0.07926829268,0.7926829268,0.3292682927,0.4451219512,0.4136585366
26.0,0.6768292683,model_25,0.5365853659,0.07317073171,0.7926829268,0.3292682927,0.4146341463,0.4183864916
27.0,0.6768292683,model_26,0.4451219512,-0.01829268293,0.7926829268,0.3292682927,0.4512195122,0.4193766938
28.0,0.6768292683,model_27,0.506097561,0.04268292683,0.7926829268,0.3292682927,0.4268292683,0.4224738676
29.0,0.6768292683,model_28,0.3780487805,-0.08536585366,0.7926829268,0.3292682927,0.4451219512,0.420941968
30.0,0.6768292683,model_29,0.4024390244,-0.06097560976,0.7926829268,0.3292682927,0.4146341463,0.4203252033
