Models,BestSingleAcc,AddedModel,AddedModelAcc,AddedDeltaFromBase,OracleAcc,OracleDeltaFromBase,HardVoteAcc,SoftVoteAcc
1.0,0.6050566696,model_0,0.6050566696,0.0,0.6050566696,0.0,0.6050566696,0.6050566696
2.0,0.6050566696,model_1,0.58326068,-0.02179598954,0.6408020924,0.03574542284,0.5475152572,0.5941586748
3.0,0.6050566696,model_2,0.5919790759,-0.01307759372,0.6564952049,0.05143853531,0.5919790759,0.5934321418
4.0,0.6050566696,model_3,0.593722755,-0.01133391456,0.6669572799,0.06190061029,0.5727986051,0.5935047951
5.0,0.6050566696,model_4,0.5972101133,-0.007846556234,0.6765475153,0.07149084568,0.5928509154,0.5942458588
6.0,0.6050566696,model_5,0.5893635571,-0.01569311247,0.6852659111,0.0802092415,0.5806451613,0.5934321418
7.0,0.6050566696,model_6,0.5919790759,-0.01307759372,0.689625109,0.08456843941,0.5963382738,0.593224561
8.0,0.6050566696,model_7,0.5972101133,-0.007846556234,0.6922406277,0.08718395815,0.5858761988,0.593722755
9.0,0.6050566696,model_8,0.5884917175,-0.01656495205,0.6965998256,0.09154315606,0.5919790759,0.5931415286
10.0,0.614646905,model_9,0.614646905,0.009590235397,0.7070619006,0.102005231,0.5876198779,0.5952920663
11.0,0.614646905,model_10,0.5954664342,-0.009590235397,0.7140366173,0.1089799477,0.5963382738,0.5953079179
12.0,0.614646905,model_11,0.593722755,-0.01133391456,0.7149084568,0.1098517873,0.5911072363,0.595175821
13.0,0.614646905,model_12,0.6024411508,-0.002615518745,0.7183958152,0.1133391456,0.5963382738,0.5957346925
14.0,0.614646905,model_13,0.5876198779,-0.01743679163,0.7201394943,0.1150828248,0.5928509154,0.5951550629
15.0,0.614646905,model_14,0.5884917175,-0.01656495205,0.7244986922,0.1194420227,0.5954664342,0.5947108399
16.0,0.614646905,model_15,0.60418483,-0.0008718395815,0.7262423714,0.1211857018,0.593722755,0.5953029643
17.0,0.614646905,model_16,0.5893635571,-0.01569311247,0.7262423714,0.1211857018,0.5945945946,0.5949535874
18.0,0.614646905,model_17,0.58326068,-0.02179598954,0.7262423714,0.1211857018,0.5928509154,0.5943039814
19.0,0.614646905,model_18,0.58326068,-0.02179598954,0.7262423714,0.1211857018,0.5954664342,0.593722755
20.0,0.614646905,model_19,0.5911072363,-0.0139494333,0.727114211,0.1220575414,0.593722755,0.5935919791
21.0,0.614646905,model_20,0.5928509154,-0.01220575414,0.7323452485,0.1272885789,0.5963382738,0.5935566903
22.0,0.614646905,model_21,0.5963382738,-0.008718395815,0.7323452485,0.1272885789,0.5911072363,0.5936831259
23.0,0.614646905,model_22,0.5823888405,-0.02266782912,0.7323452485,0.1272885789,0.5954664342,0.5931920701
24.0,0.614646905,model_23,0.5928509154,-0.01220575414,0.7340889276,0.1290322581,0.5928509154,0.5931778553
25.0,0.614646905,model_24,0.5902353967,-0.01482127289,0.7349607672,0.1299040976,0.5945945946,0.5930601569
26.0,0.614646905,model_25,0.5972101133,-0.007846556234,0.7349607672,0.1299040976,0.593722755,0.5932197706
27.0,0.614646905,model_26,0.60418483,-0.0008718395815,0.7367044464,0.1316477768,0.5963382738,0.5936258839
28.0,0.614646905,model_27,0.5806451613,-0.02441150828,0.737576286,0.1325196164,0.5928509154,0.5931622867
29.0,0.614646905,model_28,0.6006974717,-0.004359197908,0.737576286,0.1325196164,0.5954664342,0.5934221207
30.0,0.614646905,model_29,0.5841325196,-0.02092414996,0.7401918047,0.1351351351,0.5919790759,0.5931124673
