Models,BestSingleAcc,AddedModel,AddedModelAcc,AddedDeltaFromBase,OracleAcc,OracleDeltaFromBase,HardVoteAcc,SoftVoteAcc
1.0,0.4817073171,model_0,0.4817073171,0.0,0.4817073171,0.0,0.4817073171,0.4817073171
2.0,0.6463414634,model_1,0.6463414634,0.1646341463,0.7195121951,0.237804878,0.4085365854,0.5640243902
3.0,0.6463414634,model_2,0.487804878,0.006097560976,0.7256097561,0.243902439,0.5548780488,0.5386178862
4.0,0.6463414634,model_3,0.487804878,0.006097560976,0.7317073171,0.25,0.4634146341,0.5259146341
5.0,0.6463414634,model_4,0.5,0.01829268293,0.737804878,0.256097561,0.5365853659,0.5207317073
6.0,0.6463414634,model_5,0.4756097561,-0.006097560976,0.756097561,0.2743902439,0.4695121951,0.5132113821
7.0,0.6463414634,model_6,0.5487804878,0.06707317073,0.756097561,0.2743902439,0.5365853659,0.5182926829
8.0,0.6463414634,model_7,0.5975609756,0.1158536585,0.762195122,0.2804878049,0.5243902439,0.5282012195
9.0,0.6463414634,model_8,0.5365853659,0.05487804878,0.762195122,0.2804878049,0.5609756098,0.5291327913
10.0,0.6463414634,model_9,0.5975609756,0.1158536585,0.7682926829,0.2865853659,0.5304878049,0.5359756098
11.0,0.6463414634,model_10,0.4024390244,-0.07926829268,0.7682926829,0.2865853659,0.5487804878,0.5238359202
12.0,0.6463414634,model_11,0.6219512195,0.1402439024,0.7743902439,0.2926829268,0.5365853659,0.5320121951
13.0,0.6463414634,model_12,0.5853658537,0.1036585366,0.7743902439,0.2926829268,0.5731707317,0.5361163227
14.0,0.6463414634,model_13,0.5548780488,0.07317073171,0.7743902439,0.2926829268,0.5609756098,0.537456446
15.0,0.6463414634,model_14,0.5792682927,0.09756097561,0.7743902439,0.2926829268,0.5792682927,0.5402439024
16.0,0.6524390244,model_15,0.6524390244,0.1707317073,0.7743902439,0.2926829268,0.5792682927,0.5472560976
17.0,0.6524390244,model_16,0.4512195122,-0.03048780488,0.7743902439,0.2926829268,0.5914634146,0.5416068867
18.0,0.6524390244,model_17,0.5853658537,0.1036585366,0.7804878049,0.2987804878,0.5731707317,0.5440379404
19.0,0.6524390244,model_18,0.5243902439,0.04268292683,0.7804878049,0.2987804878,0.6036585366,0.5430038511
20.0,0.6524390244,model_19,0.5670731707,0.08536585366,0.7804878049,0.2987804878,0.5853658537,0.5442073171
21.0,0.6524390244,model_20,0.4207317073,-0.06097560976,0.7804878049,0.2987804878,0.6036585366,0.5383275261
22.0,0.6524390244,model_21,0.5304878049,0.0487804878,0.7804878049,0.2987804878,0.5853658537,0.5379711752
23.0,0.6524390244,model_22,0.5731707317,0.09146341463,0.7804878049,0.2987804878,0.6097560976,0.5395015907
24.0,0.6524390244,model_23,0.5731707317,0.09146341463,0.7804878049,0.2987804878,0.5914634146,0.5409044715
25.0,0.6524390244,model_24,0.4817073171,0.0,0.7804878049,0.2987804878,0.5914634146,0.5385365854
26.0,0.6524390244,model_25,0.3963414634,-0.08536585366,0.7804878049,0.2987804878,0.5731707317,0.5330675422
27.0,0.6524390244,model_26,0.506097561,0.0243902439,0.7804878049,0.2987804878,0.5792682927,0.532068654
28.0,0.6524390244,model_27,0.4207317073,-0.06097560976,0.7804878049,0.2987804878,0.5670731707,0.5280923345
29.0,0.6524390244,model_28,0.487804878,0.006097560976,0.7804878049,0.2987804878,0.5731707317,0.5267031119
30.0,0.6524390244,model_29,0.5792682927,0.09756097561,0.7804878049,0.2987804878,0.5609756098,0.5284552846
