Models,BestSingleAcc,AddedModel,AddedModelAcc,AddedDeltaFromBase,OracleAcc,OracleDeltaFromBase,HardVoteAcc,SoftVoteAcc
1.0,0.493234582,model_0,0.493234582,0.0,0.493234582,0.0,0.493234582,0.493234582
2.0,0.493234582,model_1,0.4898162655,-0.003418316479,0.5474291411,0.05419455918,0.4356217063,0.4915254237
3.0,0.493234582,model_2,0.4898162655,-0.003418316479,0.572781655,0.07954707307,0.488320752,0.4909557043
4.0,0.493234582,model_3,0.4833357072,-0.009898874804,0.5965674405,0.1033328586,0.45634525,0.489050705
5.0,0.493234582,model_4,0.484475146,-0.008759435978,0.6117362199,0.1185016379,0.4828372027,0.4881355932
6.0,0.4935906566,model_5,0.4935906566,0.0003560746332,0.6239851873,0.1307506053,0.4626121635,0.4890447705
7.0,0.4935906566,model_6,0.4899586953,-0.003275886626,0.6370175189,0.1437829369,0.4831220624,0.4891753311
8.0,0.4935906566,model_7,0.4798461758,-0.01338840621,0.6484831221,0.1552485401,0.4653895456,0.4880091867
9.0,0.4935906566,model_8,0.4794901011,-0.01374448084,0.6597350805,0.1665004985,0.48062954,0.4870626217
10.0,0.4935906566,model_9,0.4809856146,-0.01224896738,0.6637231164,0.1704885344,0.4678820681,0.486454921
11.0,0.4935906566,model_10,0.4857570147,-0.007477567298,0.6672126478,0.1739780658,0.4811280444,0.4863914749
12.0,0.4935906566,model_11,0.4876086028,-0.005625979205,0.6702748896,0.1770403076,0.4704458054,0.4864929022
13.0,0.4935906566,model_12,0.4858282296,-0.007406352371,0.6735507762,0.1803161943,0.48062954,0.4864417736
14.0,0.4935906566,model_13,0.4757869249,-0.01744765703,0.6770403076,0.1838057257,0.4708018801,0.485680713
15.0,0.4935906566,model_14,0.4779233727,-0.01531120923,0.6798176898,0.1865831078,0.4797749608,0.4851635569
16.0,0.4935906566,model_15,0.4873237431,-0.005910838912,0.6824526421,0.1892180601,0.4710867398,0.4852985686
17.0,0.4935906566,model_16,0.4762854294,-0.01694915254,0.6858709586,0.1926363766,0.4793476713,0.4847683839
18.0,0.4935906566,model_17,0.4858282296,-0.007406352371,0.6887195556,0.1954849737,0.4724398234,0.4848272642
19.0,0.4935906566,model_18,0.4766415041,-0.01659307791,0.6917105825,0.1984760006,0.4785643071,0.4843964348
20.0,0.4935906566,model_19,0.4840478564,-0.009186725538,0.694203105,0.200968523,0.4723686085,0.4843790058
21.0,0.4935906566,model_20,0.4841902863,-0.009044295684,0.6971941319,0.2039595499,0.4781370175,0.4843700192
22.0,0.4935906566,model_21,0.4745762712,-0.01865831078,0.699971514,0.2067369321,0.471798889,0.4839248488
23.0,0.4935906566,model_22,0.4850448654,-0.008189716565,0.701894317,0.2086597351,0.4782082324,0.4839735452
24.0,0.4935906566,model_23,0.476712719,-0.01652186298,0.7057399231,0.2125053411,0.4716564592,0.4836710108
25.0,0.4935906566,model_24,0.4757869249,-0.01744765703,0.7072354365,0.2140008546,0.4778521578,0.4833556473
26.0,0.4935906566,model_25,0.4720125338,-0.02122204814,0.7138584247,0.2206238428,0.4715852443,0.4829193737
27.0,0.4935906566,model_26,0.469947301,-0.02328728101,0.7164221621,0.2231875801,0.4767839339,0.4824389266
28.0,0.4935906566,model_27,0.4740777667,-0.01915681527,0.7171343114,0.2238997294,0.4713715995,0.4821403138
29.0,0.4935906566,model_28,0.4819114086,-0.01132317334,0.718487395,0.225252813,0.4768551488,0.4821324205
30.0,0.4935906566,model_29,0.4770687936,-0.01616578835,0.7206950577,0.2274604757,0.4710867398,0.4819636329
