Models,BestSingleAcc,AddedModel,AddedModelAcc,AddedDeltaFromBase,OracleAcc,OracleDeltaFromBase,HardVoteAcc,SoftVoteAcc
1.0,0.4943740208,model_0,0.4943740208,0.0,0.4943740208,0.0,0.4943740208,0.4943740208
2.0,0.4943740208,model_1,0.4836205669,-0.01075345392,0.5408773679,0.0465033471,0.4371172198,0.4889972938
3.0,0.4943740208,model_2,0.480558325,-0.01381569577,0.5544794189,0.06010539809,0.4849024356,0.4861843042
4.0,0.4943740208,model_3,0.4868252386,-0.007548782225,0.5716422162,0.07726819541,0.4623273038,0.4863445378
5.0,0.4943740208,model_4,0.479632531,-0.01474148982,0.5783364193,0.08396239852,0.4822674833,0.4850021364
6.0,0.4943740208,model_5,0.4853297251,-0.009044295684,0.5865973508,0.09222333001,0.4673835636,0.4850567346
7.0,0.4943740208,model_6,0.4799173907,-0.01445663011,0.5910126763,0.09663865546,0.4818401937,0.4843225426
8.0,0.4943740208,model_7,0.4826235579,-0.0117504629,0.596068936,0.1016949153,0.4702321607,0.4841101695
9.0,0.4943740208,model_8,0.4760717846,-0.01830223615,0.5984902436,0.1041162228,0.480558325,0.4832170156
10.0,0.4943740208,model_9,0.4862555192,-0.008118501638,0.6071072497,0.1127332289,0.4730807577,0.483520866
11.0,0.4943740208,model_10,0.4811280444,-0.01324597636,0.6098134169,0.1154393961,0.4814841191,0.4833033367
12.0,0.4943740208,model_11,0.4813416892,-0.01303233158,0.6122347244,0.1178607036,0.4740777667,0.4831398661
13.0,0.4943740208,model_12,0.4826947728,-0.01167924797,0.6181455633,0.1237715425,0.4811992594,0.4831056282
14.0,0.4943740208,model_13,0.483478137,-0.01089588378,0.6207093007,0.1263352799,0.4748611309,0.4831322359
15.0,0.4943740208,model_14,0.4772824384,-0.0170915824,0.6231306082,0.1287565874,0.4799173907,0.4827422494
16.0,0.4943740208,model_15,0.4845463609,-0.009827659878,0.6244836918,0.130109671,0.4749323458,0.4828550064
17.0,0.4943740208,model_16,0.4762142145,-0.0181598063,0.6262640649,0.1318900442,0.4793476713,0.4824643716
18.0,0.4943740208,model_17,0.4745762712,-0.01979774961,0.6286141575,0.1342401367,0.4745050563,0.4820261438
19.0,0.4943740208,model_18,0.4769263638,-0.01744765703,0.6298960262,0.1355220054,0.4795613161,0.4817577343
20.0,0.4943740208,model_19,0.4777809429,-0.01659307791,0.631035465,0.1366614442,0.4744338413,0.4815588947
21.0,0.4943740208,model_20,0.4757869249,-0.01858709586,0.6328158382,0.1384418174,0.4797037459,0.481284039
22.0,0.4943740208,model_21,0.4811992594,-0.01317476143,0.6334567725,0.1390827517,0.4755020652,0.4812801854
23.0,0.4943740208,model_22,0.4811280444,-0.01324597636,0.6345962114,0.1402221906,0.4794188862,0.4812735706
24.0,0.4943740208,model_23,0.4826235579,-0.0117504629,0.6362341547,0.1418601339,0.4752172055,0.4813298201
25.0,0.4943740208,model_24,0.4814129041,-0.01296111665,0.6373735935,0.1429995727,0.4802022504,0.4813331434
26.0,0.4943740208,model_25,0.4817689788,-0.01260504202,0.638797892,0.1444238712,0.4764278593,0.4813499063
27.0,0.4943740208,model_26,0.4846175758,-0.009756444951,0.6395812562,0.1452072354,0.4799173907,0.4814709311
28.0,0.4943740208,model_27,0.4752172055,-0.01915681527,0.6404358354,0.1460618146,0.4764278593,0.4812475838
29.0,0.4943740208,model_28,0.4858994445,-0.008474576271,0.641717704,0.1473436832,0.4794188862,0.4814079928
30.0,0.4943740208,model_29,0.4742201966,-0.02015382424,0.6425010682,0.1481270474,0.4764278593,0.4811683996
