Models,BestSingleAcc,AddedModel,AddedModelAcc,AddedDeltaFromBase,OracleAcc,OracleDeltaFromBase,HardVoteAcc,SoftVoteAcc
1.0,0.4923800028,model_0,0.4923800028,0.0,0.4923800028,0.0,0.4923800028,0.4923800028
2.0,0.4923800028,model_1,0.4861130893,-0.006266913545,0.5317618573,0.03938185444,0.4467312349,0.4892465461
3.0,0.4923800028,model_2,0.4843327161,-0.008047286711,0.5474291411,0.0550491383,0.4861130893,0.4876086028
4.0,0.4923800028,model_3,0.479632531,-0.01274747187,0.5603902578,0.06801025495,0.4616863695,0.4856145848
5.0,0.4923800028,model_4,0.4812704743,-0.01110952856,0.5682951147,0.07591511181,0.4836205669,0.4847457627
6.0,0.4923800028,model_5,0.4816265489,-0.01075345392,0.5794046432,0.08702464036,0.4664577695,0.4842258937
7.0,0.4923800028,model_6,0.4819826236,-0.01039737929,0.5851730523,0.09279304942,0.4807719698,0.4839054266
8.0,0.4923800028,model_7,0.4811992594,-0.01118074348,0.5940037032,0.1016237003,0.4673835636,0.4835671557
9.0,0.4923800028,model_8,0.4755020652,-0.01687793762,0.5981341689,0.1057541661,0.4799173907,0.4826710345
10.0,0.4923800028,model_9,0.4849736505,-0.007406352371,0.6014812705,0.1091012676,0.4693775815,0.4829012961
11.0,0.4923800028,model_10,0.4766415041,-0.01573849879,0.6036177183,0.1112377154,0.4794901011,0.4823322241
12.0,0.4923800028,model_11,0.4804158952,-0.01196410768,0.6071072497,0.1147272468,0.4712291696,0.48217253
13.0,0.4923800028,model_12,0.4774960832,-0.01488391967,0.609670987,0.1172909842,0.4785643071,0.4818128033
14.0,0.4923800028,model_13,0.4790628116,-0.01331719128,0.6130893035,0.1207093007,0.469947301,0.4816163754
15.0,0.4923800028,model_14,0.4751459906,-0.01723401225,0.6149408916,0.1225608888,0.4762854294,0.4811850164
16.0,0.4923800028,model_15,0.4723686085,-0.02001139439,0.6169349096,0.1245549067,0.4691639368,0.4806339909
17.0,0.4923800028,model_16,0.4743626264,-0.01801737644,0.6246973366,0.1323173337,0.473792907,0.4802650871
18.0,0.4923800028,model_17,0.4759293548,-0.01645064806,0.6253382709,0.1329582681,0.4672411337,0.4800242131
19.0,0.4923800028,model_18,0.4771400085,-0.0152399943,0.6264777097,0.1340977069,0.4735080473,0.4798724128
20.0,0.4923800028,model_19,0.4768551488,-0.01552485401,0.6276883635,0.1353083606,0.4695200114,0.4797215496
21.0,0.4923800028,model_20,0.4787779519,-0.01360205099,0.6287565874,0.1363765845,0.4736504771,0.4796766164
22.0,0.4923800028,model_21,0.4760005697,-0.01637943313,0.6297535964,0.1373735935,0.4684517875,0.4795095234
23.0,0.4923800028,model_22,0.4764278593,-0.01595214357,0.6306793904,0.1382993876,0.4724398234,0.479375538
24.0,0.4923800028,model_23,0.471798889,-0.0205811138,0.6318188292,0.1394388264,0.4681669278,0.4790598443
25.0,0.4923800028,model_24,0.4758581399,-0.01652186298,0.6323173337,0.1399373309,0.4729383279,0.4789317761
26.0,0.4923800028,model_25,0.4710155249,-0.02136447799,0.633029483,0.1406494801,0.4690215069,0.4786273049
27.0,0.4923800028,model_26,0.470873095,-0.02150690785,0.6340977069,0.141717704,0.4725822532,0.4783401119
28.0,0.4923800028,model_27,0.471870104,-0.02050989887,0.6360205099,0.1436405071,0.4688078621,0.4781090402
29.0,0.4923800028,model_28,0.4791340265,-0.01324597636,0.6364477995,0.1440677966,0.471798889,0.4781443846
30.0,0.4923800028,model_29,0.477709728,-0.01467027489,0.6370175189,0.144637516,0.4683805726,0.478129896
